"city";"country";"nbArtists";"latitude";"longitude"
"staten island";"united states";"3";"40.56233";"-74.13986"
"athens";"united states";"3";"41.9573";"-76.518"
"tottenham";"united kingdom";"3";"51.60373";"-0.06794"
"hollywood";"united states";"3";"32.73434";"-80.24177"
"southampton";"united kingdom";"3";"50.90395";"-1.40428"
"new haven";"united states";"3";"41.30815";"-72.92816"
"west bromwich";"united kingdom";"3";"52.51868";"-1.9945"
"rochester";"united states";"3";"40.70229";"-80.28645"
"sheffield";"united kingdom";"3";"53.38297";"-1.4659"
"salinas";"united states";"3";"36.67774";"-121.6555"
"kingston upon thames";"united kingdom";"3";"51.41259";"-0.2974"
"jamestown";"united states";"3";"39.65812";"-83.73492"
"eugene";"united states";"3";"44.05207";"-123.08675"
"bradford";"united kingdom";"3";"53.79391";"-1.75206"
"whitechapel";"united kingdom";"3";"51.51382";"-0.06583"
"springfield";"united states";"3";"42.32643";"-85.23916"
"geneva";"united states";"3";"40.59199";"-84.95719"
"san jose";"united states";"3";"37.33939";"-121.89496"
"bergen";"norway";"3";"60.39299";"5.32415"
"oklahoma city";"united states";"3";"35.46756";"-97.51643"
"vancouver";"canada";"3";"49.24966";"-123.11934"
"lafayette";"united states";"3";"40.4167";"-86.87529"
"gelsenkirchen";"germany";"3";"51.50508";"7.09654"
"holly springs";"united states";"3";"31.31573";"-89.97786"
"east orange";"united states";"2";"40.76732";"-74.20487"
"mississauga";"canada";"2";"43.5789";"-79.6583"
"smithville";"united states";"2";"39.49401";"-74.45709"
"goiás";"brazil";"2";"-15.93444";"-50.14028"
"flensburg";"germany";"2";"54.78431";"9.43961"
"grenoble";"france";"2";"45.17869";"5.71479"
"longsight";"united kingdom";"2";"53.45801";"-2.20104"
"oxford";"united kingdom";"2";"51.75222";"-1.25596"
"gilmer";"united states";"2";"32.72875";"-94.94244"
"charlotte";"united states";"2";"42.56365";"-84.83582"
"uppsala";"sweden";"2";"59.85882";"17.63889"
"alabama";"united states";"2";"43.09645";"-78.39086"
"hampton";"united states";"2";"39.42288";"-76.58469"
"brussels";"belgium";"2";"50.85045";"4.34878"
"bern";"switzerland";"2";"46.94809";"7.44744"
"trieste";"italy";"2";"45.64953";"13.77678"
"grangemouth";"united kingdom";"2";"56.01141";"-3.72183"
"baldwin";"united states";"2";"29.83798";"-91.54428"
"richland";"united states";"2";"37.85698";"-92.40434"
"clinton";"united states";"2";"38.36863";"-93.77827"
"yonkers";"united states";"2";"40.93121";"-73.89875"
"englewood";"united states";"2";"39.64777";"-104.98776"
"malibu";"united states";"2";"34.02577";"-118.7804"
"wimborne minster";"united kingdom";"2";"50.78333";"-1.98333"
"breda";"netherlands";"2";"51.58656";"4.77596"
"turin";"italy";"2";"45.07049";"7.68682"
"covington";"united states";"2";"30.47549";"-90.10042"
"göttingen";"germany";"2";"51.53443";"9.93228"
"white plains";"united states";"2";"41.03399";"-73.76291"
"monroe";"united states";"2";"41.52221";"-93.10187"
"saginaw";"united states";"2";"43.41947";"-83.95081"
"harrisburg";"united states";"2";"44.27401";"-123.17065"
"laurens";"united states";"2";"42.84664";"-94.85193"
"kelowna";"canada";"2";"49.88307";"-119.48568"
"oxnard";"united states";"2";"34.1975";"-119.17705"
"burlington";"canada";"2";"43.38621";"-79.83713"
"greensboro";"united states";"2";"38.97372";"-75.80493"
"minato";"japan";"2";"34.2152";"135.1501"
"new malden";"united kingdom";"2";"51.40065";"-0.2617"
"hounslow";"united kingdom";"2";"51.46839";"-0.36092"
"visp";"switzerland";"2";"46.2937";"7.88149"
"st. catharines";"canada";"2";"43.17126";"-79.24267"
"kingston upon hull";"united kingdom";"2";"53.7446";"-0.33525"
"barcelona";"spain";"2";"41.38879";"2.15899"
"bremen";"germany";"2";"53.07582";"8.80717"
"malmö";"sweden";"2";"55.60587";"13.00073"
"wiesbaden";"germany";"2";"50.08258";"8.24932"
"emden";"germany";"2";"53.36745";"7.20778"
"peterborough";"canada";"2";"44.30012";"-78.31623"
"santa rosa";"united states";"2";"34.93867";"-104.68249"
"moncton";"canada";"2";"46.09454";"-64.7965"
"greenville";"united states";"2";"37.12727";"-90.45011"
"kendal";"united kingdom";"2";"54.32681";"-2.74757"
"tromsø";"norway";"2";"69.6489";"18.95508"
"bielefeld";"germany";"2";"52.03333";"8.53333"
"leicester";"united kingdom";"2";"52.6386";"-1.13169"
"beaumont";"united states";"2";"30.08605";"-94.10185"
"hazlehurst";"united states";"2";"31.86963";"-82.5943"
"tyler";"united states";"2";"32.35126";"-95.30106"
"linz";"austria";"2";"48.30639";"14.28611"
"wichita";"united states";"2";"37.69224";"-97.33754"
"wynnewood";"united states";"2";"34.64342";"-97.16447"
"huntsville";"canada";"2";"45.33341";"-79.21632"
"meridian";"united states";"2";"43.61211";"-116.39151"
"lima";"united states";"2";"40.74255";"-84.10523"
"bethnal green";"united kingdom";"2";"51.52718";"-0.06109"
"ulm";"germany";"2";"48.39841";"9.99155"
"duncan";"united states";"2";"34.5023";"-97.95781"
"stamford";"united states";"2";"42.4073";"-74.61432"
"anaheim";"united states";"2";"33.83529";"-117.9145"
"nantes";"france";"2";"47.21725";"-1.55336"
"saarbrücken";"germany";"2";"49.23262";"7.00982"
"plumstead";"united kingdom";"2";"51.48333";"0.08333"
"lyon";"france";"2";"45.74846";"4.84671"
"lincoln";"united states";"2";"40.31896";"-79.85477"
"stoke-on-trent";"united kingdom";"2";"53.00415";"-2.18538"
"portsmouth";"united states";"2";"41.60232";"-71.25033"
"ripley";"united kingdom";"2";"51.29907";"-0.49164"
